KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K182020|Guangzhou Longest Science & Technology Co., Ltd.|Xiaobing  Luo|5&6f, Building B4, No.11, Kaiyuan Avenue Science City,|Hi-Tech Industrial Zone|Guangzhou||CN|510530|510530|07/27/2018|09/17/2020|SESE|PM|NGX|Summary|PM||Traditional|N||Portable Electro-Stimulation Therapy Device
K182906|FeelLife Health Inc.|Owen  Zhang|Room 1903, Building A, No.9 Furong Road, Tantou Bao'an|District|Shenzhen||CN|518104|518104|10/17/2018|09/27/2020|SESE|AN|CAF|Statement|AN||Traditional|N||Portable Mesh Nebulizer
DEN190032|Instrumentation Laboratory Co.|Carol  Marble|180 Hartwell Road||Bedford|MA|US|01730|01730|06/25/2019|09/17/2020|DENG|HE|QLU||HE||Direct|N||HemosIL Liquid Anti-Xa
DEN190039|Home Skinovations Ltd.|Amit  Goren|Tabor Building, Shaar Yokneam||Yoqneam Illit||IL|2069200|2069200|08/22/2019|09/17/2020|DENG|DE|QMJ||DE||Direct|N||ToothWave™
K190561|COSMED Nordic ApS|Peter  Clemensen|Lucernemarken 23||Odense||DK|DK-5260|DK-5260|03/05/2019|09/04/2020|SESE|AN|BZL|Summary|AN||Traditional|N||NICU V'02
K190707|Arthrex Inc.|David L Rogers|1370 Creekside Boulevard||Naples|FL|US|34108-1945|34108-1945|03/19/2019|10/02/2020|SESE|OR|GAT|Summary|SU||Traditional|N||Arthrex SoftStitch
K190798|OBMedical Company|Mark A. Samuels|3630 SW 47th Ave, Suite 201||Gainesville|FL|US|32608|32608|03/28/2019|09/18/2020|SESE|OB|OSP|Summary|OB||Traditional|N||LaborView™ LV1000 Wireless Electrode System
K191320|Slow Wave, Inc.|Wayne R. Wagner|26100 Countryside Dr.||Spicewood|TX|US|78669|78669|05/15/2019|10/02/2020|SESE|DE|LQZ|Summary|DE||Traditional|N||Slow Wave DS8
K191639|Anhui Tiankang Medical Technology Co.,Ltd.|Bai  Baodong|No.228 Weiyi Road, Economic Development Zone||Tianchang||CN|239300|239300|06/19/2019|09/11/2020|SESE|HO|MEG|Summary|HO||Traditional|N||TK Insulin Syringe with/without Saftey Retractable Device
K191738|Philips Medical Systems|Hong  Zhu|Building A2, #718 Lingshi Road, JingAn District||Shanghai||CN|200072|200072|06/28/2019|09/29/2020|SESE|CV|DPS|Summary|CV||Traditional|N||PageWriter TC20 Cardiograph, PageWriter TC30 Cardiograph, PageWriter TC50 Cardiograph, PageWriter TC70 Cardiograph
K191982|Shenzhen Kentro Medical Electronics Co., Ltd|Zewu  Zhang|No.3, Xihu Industry Zone, Xikeng Village, Henggang Town|Longgang District|Shenzhen City||CN|518115|518115|07/25/2019|09/25/2020|SESE|NE|NUH|Summary|NE||Traditional|N||Low-Frequency Multi-function Physiotherapy Instrument (Model: KTR-2230, KTR-2220, KTR-2210, KTR-2231, KTR-2221, KTR-2211, KTR-2232, KTR-2222, KTR-2212)
K192051|CorticoMetrics LLC|Nick  Schmansky|128 Granite St.||Rockport|MA|US|01966|01966|07/31/2019|09/30/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||THINQ
K192077|Vupiesse S.R.L|Marco  Paolizzi|Via della Lontra, 49||Rimini RN||IT|47923|47923|08/02/2019|09/30/2020|SESE|NE|NFO|Summary|NE||Traditional|N||Tua Face Fitness / Tua Trend Face
K192111|Top Glove SDN BHD|Noor Akilah Saidin|Lot 4969, Jalan Teratai, Batu 6, Off Jalan Meru||Klang||MY|41050|41050|08/05/2019|09/03/2020|SESE|HO|LZA|Statement|HO||Traditional|N||Biodegradable Nitrile Examination Powder Free Glove, Green
K192137|Philips Medizin Systeme Boeblingen GmbH|Stefan  Breuer|Hewlett-Packard-Str. 2||Boeblingen||DE|71034|71034|08/07/2019|09/11/2020|SESE|CV|MHX|Summary|CV||Abbreviated|N||IntelliVue Patient Monitor MX500, IntelliVue Patient Monitor MX550
K192375|Smiths Medical ASD, Inc.|Wendy  Hills|6000 Nathan Lane North||Minneapolis|MN|US|55442|55442|08/30/2019|09/18/2020|SESE|HO|FPA|Summary|HO||Traditional|N||Intellifuse Administration and Intellifuse Blood Administration Sets
K192423|Hans Biomed Corporation|Lucy  Choi|7, Jeongui-ro 8-gil, Songpa-gu||Seoul||KR|05836|05836|09/04/2019|09/09/2020|SESE|SU|NEW|Summary|SU||Traditional|N||MINT Product Family
K192452|B. Bruan Surgical, SA|Pau Turon Dols|Carretera Terrassa 121||Rubi||ES|08191|08191|09/09/2019|09/03/2020|SESE|SU|FTM|Summary|SU||Traditional|N||Lyograft
K192524|Fujirebio Diagnostics, Inc.|Kristin  Maddaloni|201 Great Valley Parkway||Malvern|PA|US|19355|19355|09/13/2019|09/04/2020|SESE|IM|MOI|Summary|IM||Traditional|N||Lumipulse G CA15-3
K192538|Becton, Dickinson and Company|Murtaza  Rana|1 Becton Drive||Franklin Lakes|NJ|US|07417|07417|09/16/2019|09/04/2020|SESE|HO|QEH|Summary|HO||Traditional|N||BD Syringe NRFit Lok and BD Syringe NRFit Slip
K192653|Orthokey Italia S.r.l.|Cristiano  Paggetti|Piazza Nazioni Unite, 15||Carrara||IT|54033|54033|09/24/2019|09/09/2020|SESE|OR|OLO|Summary|NE||Traditional|N||Perseus
K192665|Accelerate Diagnostics, Inc.|Carrene  Plummer|3950 S. Country Club Road #470||Tucson|AZ|US|85714|85714|09/25/2019|09/15/2020|SESE|MI|PRH|Summary|MI||Traditional|N||Accelerate Pheno System, Accelerate PhenoTest BC Kit
K192702|Synthes (USA) Products LLC|Jeffrey  Krawiec|1301 Goshen Parkway||West Chester|PA|US|19380|19380|09/27/2019|09/18/2020|SESE|NE|GXN|Summary|NE||Traditional|N||DePuy Synthes Craniomaxillofacial Neuro Devices - MR Conditional
